REEF_SITE,TRANSECT_NO,YEAR,MONTH,SURVEY_DATE,GROWTH_FORM,BLEACH_STATUS,ABUNDANCE
KM,1,2014,APR,3/04/14,Massive,FB,0
KM,1,2014,APR,3/04/14,Massive,PB,22
KM,1,2014,APR,3/04/14,Massive,H,37
KM,1,2014,APR,3/04/14,Branching,FB,0
KM,1,2014,APR,3/04/14,Branching,PB,2
KM,1,2014,APR,3/04/14,Branching,H,6
KM,1,2014,APR,3/04/14,Plate,FB,0
KM,1,2014,APR,3/04/14,Plate,PB,4
KM,1,2014,APR,3/04/14,Plate,H,10
KM,1,2014,APR,3/04/14,Solitary,FB,0
KM,1,2014,APR,3/04/14,Solitary,PB,1
KM,1,2014,APR,3/04/14,Solitary,H,5
KM,2,2014,APR,3/04/14,Massive,FB,0
KM,2,2014,APR,3/04/14,Massive,PB,18
KM,2,2014,APR,3/04/14,Massive,H,24
KM,2,2014,APR,3/04/14,Branching,FB,0
KM,2,2014,APR,3/04/14,Branching,PB,2
KM,2,2014,APR,3/04/14,Branching,H,5
KM,2,2014,APR,3/04/14,Plate,FB,0
KM,2,2014,APR,3/04/14,Plate,PB,3
KM,2,2014,APR,3/04/14,Plate,H,9
KM,2,2014,APR,3/04/14,Solitary,FB,0
KM,2,2014,APR,3/04/14,Solitary,PB,1
KM,2,2014,APR,3/04/14,Solitary,H,3
ATL,1,2014,MAY,15/05/14,Massive,FB,11
ATL,1,2014,MAY,15/05/14,Massive,PB,44
ATL,1,2014,MAY,15/05/14,Massive,H,79
ATL,1,2014,MAY,15/05/14,Branching,FB,0
ATL,1,2014,MAY,15/05/14,Branching,PB,24
ATL,1,2014,MAY,15/05/14,Branching,H,23
ATL,1,2014,MAY,15/05/14,Plate,FB,0
ATL,1,2014,MAY,15/05/14,Plate,PB,2
ATL,1,2014,MAY,15/05/14,Plate,H,34
ATL,1,2014,MAY,15/05/14,Solitary,FB,7
ATL,1,2014,MAY,15/05/14,Solitary,PB,17
ATL,1,2014,MAY,15/05/14,Solitary,H,15
ATL,2,2014,MAY,15/05/14,Massive,FB,14
ATL,2,2014,MAY,15/05/14,Massive,PB,56
ATL,2,2014,MAY,15/05/14,Massive,H,57
ATL,2,2014,MAY,15/05/14,Branching,FB,0
ATL,2,2014,MAY,15/05/14,Branching,PB,27
ATL,2,2014,MAY,15/05/14,Branching,H,54
ATL,2,2014,MAY,15/05/14,Plate,FB,0
ATL,2,2014,MAY,15/05/14,Plate,PB,6
ATL,2,2014,MAY,15/05/14,Plate,H,29
ATL,2,2014,MAY,15/05/14,Solitary,FB,10
ATL,2,2014,MAY,15/05/14,Solitary,PB,8
ATL,2,2014,MAY,15/05/14,Solitary,H,16
ATL,3,2014,MAY,15/05/14,Massive,FB,7
ATL,3,2014,MAY,15/05/14,Massive,PB,32
ATL,3,2014,MAY,15/05/14,Massive,H,7
ATL,3,2014,MAY,15/05/14,Branching,FB,0
ATL,3,2014,MAY,15/05/14,Branching,PB,0
ATL,3,2014,MAY,15/05/14,Branching,H,0
ATL,3,2014,MAY,15/05/14,Plate,FB,2
ATL,3,2014,MAY,15/05/14,Plate,PB,21
ATL,3,2014,MAY,15/05/14,Plate,H,5
ATL,3,2014,MAY,15/05/14,Solitary,FB,2
ATL,3,2014,MAY,15/05/14,Solitary,PB,1
ATL,3,2014,MAY,15/05/14,Solitary,H,1
HK,1,2014,MAY,26/05/14,Massive,FB,17
HK,1,2014,MAY,26/05/14,Massive,PB,38
HK,1,2014,MAY,26/05/14,Massive,H,34
HK,1,2014,MAY,26/05/14,Branching,FB,0
HK,1,2014,MAY,26/05/14,Branching,PB,2
HK,1,2014,MAY,26/05/14,Branching,H,9
HK,1,2014,MAY,26/05/14,Plate,FB,0
HK,1,2014,MAY,26/05/14,Plate,PB,4
HK,1,2014,MAY,26/05/14,Plate,H,17
HK,1,2014,MAY,26/05/14,Solitary,FB,2
HK,1,2014,MAY,26/05/14,Solitary,PB,2
HK,1,2014,MAY,26/05/14,Solitary,H,3
HK,2,2014,MAY,26/05/14,Massive,FB,14
HK,2,2014,MAY,26/05/14,Massive,PB,39
HK,2,2014,MAY,26/05/14,Massive,H,36
HK,2,2014,MAY,26/05/14,Branching,FB,2
HK,2,2014,MAY,26/05/14,Branching,PB,0
HK,2,2014,MAY,26/05/14,Branching,H,6
HK,2,2014,MAY,26/05/14,Plate,FB,0
HK,2,2014,MAY,26/05/14,Plate,PB,3
HK,2,2014,MAY,26/05/14,Plate,H,17
HK,2,2014,MAY,26/05/14,Solitary,FB,1
HK,2,2014,MAY,26/05/14,Solitary,PB,1
HK,2,2014,MAY,26/05/14,Solitary,H,0
HS,1,2014,MAY,21/05/14,Massive,FB,13
HS,1,2014,MAY,21/05/14,Massive,PB,47
HS,1,2014,MAY,21/05/14,Massive,H,70
HS,1,2014,MAY,21/05/14,Branching,FB,4
HS,1,2014,MAY,21/05/14,Branching,PB,33
HS,1,2014,MAY,21/05/14,Branching,H,31
HS,1,2014,MAY,21/05/14,Plate,FB,0
HS,1,2014,MAY,21/05/14,Plate,PB,12
HS,1,2014,MAY,21/05/14,Plate,H,46
HS,1,2014,MAY,21/05/14,Solitary,FB,3
HS,1,2014,MAY,21/05/14,Solitary,PB,2
HS,1,2014,MAY,21/05/14,Solitary,H,0
HS,2,2014,MAY,21/05/14,Massive,FB,60
HS,2,2014,MAY,21/05/14,Massive,PB,106
HS,2,2014,MAY,21/05/14,Massive,H,55
HS,2,2014,MAY,21/05/14,Branching,FB,0
HS,2,2014,MAY,21/05/14,Branching,PB,10
HS,2,2014,MAY,21/05/14,Branching,H,13
HS,2,2014,MAY,21/05/14,Plate,FB,1
HS,2,2014,MAY,21/05/14,Plate,PB,3
HS,2,2014,MAY,21/05/14,Plate,H,42
HS,2,2014,MAY,21/05/14,Solitary,FB,2
HS,2,2014,MAY,21/05/14,Solitary,PB,2
HS,2,2014,MAY,21/05/14,Solitary,H,13
HS,3,2014,MAY,21/05/14,Massive,FB,37
HS,3,2014,MAY,21/05/14,Massive,PB,136
HS,3,2014,MAY,21/05/14,Massive,H,132
HS,3,2014,MAY,21/05/14,Branching,FB,0
HS,3,2014,MAY,21/05/14,Branching,PB,0
HS,3,2014,MAY,21/05/14,Branching,H,6
HS,3,2014,MAY,21/05/14,Plate,FB,2
