REEF_SITE,TRANSECT_NO,YEAR,MONTH,SURVEY_DATE,SUBSTRATE_COVER,GENUS,ABUNDANCE,PERCENT_ABUNDANCE
ATL,1,2012,SEP,19/09/12,ALGAE,ALGAE,0,0
ATL,1,2012,SEP,19/09/12,ALGAE,CRUSTOSE CORALLINE ALGAE,0,0
ATL,1,2012,SEP,19/09/12,DCA,DCA,15,37.5
ATL,1,2012,SEP,19/09/12,LCC,ACANTHASTREA,0,0
ATL,1,2012,SEP,19/09/12,LCC,ACROPORA,2,5
ATL,1,2012,SEP,19/09/12,LCC,ALVEOPORA,0,0
ATL,1,2012,SEP,19/09/12,LCC,ASTREA,0,0
ATL,1,2012,SEP,19/09/12,LCC,ASTREOPORA,0,0
ATL,1,2012,SEP,19/09/12,LCC,CAULASTREA,0,0
ATL,1,2012,SEP,19/09/12,LCC,COELOSERIS,0,0
ATL,1,2012,SEP,19/09/12,LCC,COSCINARAEA,0,0
ATL,1,2012,SEP,19/09/12,LCC,CTENACTIS,0,0
ATL,1,2012,SEP,19/09/12,LCC,CYNARINA,0,0
ATL,1,2012,SEP,19/09/12,LCC,CYPHASTREA,0,0
ATL,1,2012,SEP,19/09/12,LCC,DIPLOASTREA,0,0
ATL,1,2012,SEP,19/09/12,LCC,DIPSASTRAEA,0,0
ATL,1,2012,SEP,19/09/12,LCC,ECHINOPHYLLIA,0,0
ATL,1,2012,SEP,19/09/12,LCC,ECHINOPORA,0,0
ATL,1,2012,SEP,19/09/12,LCC,EUPHYLLIA,0,0
ATL,1,2012,SEP,19/09/12,LCC,FAVITES,0,0
ATL,1,2012,SEP,19/09/12,LCC,FUNGIA,0,0
ATL,1,2012,SEP,19/09/12,LCC,GALAXEA,0,0
ATL,1,2012,SEP,19/09/12,LCC,GARDINEROSERIS,0,0
ATL,1,2012,SEP,19/09/12,LCC,GONIASTREA,0,0
ATL,1,2012,SEP,19/09/12,LCC,GONIOPORA,3,7.5
ATL,1,2012,SEP,19/09/12,LCC,HYDNOPHORA,0,0
ATL,1,2012,SEP,19/09/12,LCC,LEPTASTREA,0,0
ATL,1,2012,SEP,19/09/12,LCC,LEPTORIA,0,0
ATL,1,2012,SEP,19/09/12,LCC,LEPTOSERIS,0,0
ATL,1,2012,SEP,19/09/12,LCC,LITHOPHYLLON,0,0
ATL,1,2012,SEP,19/09/12,LCC,LOBOPHYLLIA,6,15
ATL,1,2012,SEP,19/09/12,LCC,MERULINA,0,0
ATL,1,2012,SEP,19/09/12,LCC,MONTIPORA,5,12.5
ATL,1,2012,SEP,19/09/12,LCC,OULOPHYLLIA,0,0
ATL,1,2012,SEP,19/09/12,LCC,PACHYSERIS,0,0
ATL,1,2012,SEP,19/09/12,LCC,PAVONA,0,0
ATL,1,2012,SEP,19/09/12,LCC,PECTINIA,0,0
ATL,1,2012,SEP,19/09/12,LCC,PHYSOGYRA,0,0
ATL,1,2012,SEP,19/09/12,LCC,PLATYGYRA,1,2.5
ATL,1,2012,SEP,19/09/12,LCC,PLEROGYRA,0,0
ATL,1,2012,SEP,19/09/12,LCC,POCILLOPORA,0,0
ATL,1,2012,SEP,19/09/12,LCC,PODOBACIA,0,0
ATL,1,2012,SEP,19/09/12,LCC,PORITES,6,15
ATL,1,2012,SEP,19/09/12,LCC,PSAMMOCORA,0,0
ATL,1,2012,SEP,19/09/12,LCC,SERIATOPORA,0,0
ATL,1,2012,SEP,19/09/12,LCC,STYLOPHORA,0,0
ATL,1,2012,SEP,19/09/12,LCC,TUBASTREA,0,0
ATL,1,2012,SEP,19/09/12,LCC,TURBINARIA,0,0
ATL,1,2012,SEP,19/09/12,OTHER,ANEMONE,0,0
ATL,1,2012,SEP,19/09/12,OTHER,CLAM,0,0
ATL,1,2012,SEP,19/09/12,OTHER,OTHER LIFE,1,2.5
ATL,1,2012,SEP,19/09/12,OTHER,SEA CUCUMBER,0,0
ATL,1,2012,SEP,19/09/12,OTHER,SPONGE,0,0
ATL,1,2012,SEP,19/09/12,OTHER,URCHIN,0,0
ATL,1,2012,SEP,19/09/12,OTHER,ZOANTHIDS,0,0
ATL,1,2012,SEP,19/09/12,RUBBLE,RUBBLE,1,2.5
ATL,1,2012,SEP,19/09/12,SAND,SAND,0,0
ATL,1,2012,SEP,19/09/12,SC,SOFT CORAL,0,0
ATL,1,2013,AUG,26/08/13,ALGAE,ALGAE,0,0
ATL,1,2013,AUG,26/08/13,ALGAE,CRUSTOSE CORALLINE ALGAE,0,0
ATL,1,2013,AUG,26/08/13,DCA,DCA,41,41
ATL,1,2013,AUG,26/08/13,LCC,ACANTHASTREA,0,0
ATL,1,2013,AUG,26/08/13,LCC,ACROPORA,0,0
ATL,1,2013,AUG,26/08/13,LCC,ALVEOPORA,0,0
ATL,1,2013,AUG,26/08/13,LCC,ASTREA,0,0
ATL,1,2013,AUG,26/08/13,LCC,ASTREOPORA,0,0
ATL,1,2013,AUG,26/08/13,LCC,CAULASTREA,5,5
ATL,1,2013,AUG,26/08/13,LCC,COELOSERIS,0,0
ATL,1,2013,AUG,26/08/13,LCC,COSCINARAEA,0,0
ATL,1,2013,AUG,26/08/13,LCC,CTENACTIS,0,0
ATL,1,2013,AUG,26/08/13,LCC,CYNARINA,0,0
ATL,1,2013,AUG,26/08/13,LCC,CYPHASTREA,0,0
ATL,1,2013,AUG,26/08/13,LCC,DIPLOASTREA,3,3
ATL,1,2013,AUG,26/08/13,LCC,DIPSASTRAEA,0,0
ATL,1,2013,AUG,26/08/13,LCC,ECHINOPHYLLIA,0,0
ATL,1,2013,AUG,26/08/13,LCC,ECHINOPORA,16,16
ATL,1,2013,AUG,26/08/13,LCC,EUPHYLLIA,0,0
ATL,1,2013,AUG,26/08/13,LCC,FAVITES,4,4
ATL,1,2013,AUG,26/08/13,LCC,FUNGIA,1,1
ATL,1,2013,AUG,26/08/13,LCC,GALAXEA,0,0
ATL,1,2013,AUG,26/08/13,LCC,GARDINEROSERIS,0,0
ATL,1,2013,AUG,26/08/13,LCC,GONIASTREA,0,0
ATL,1,2013,AUG,26/08/13,LCC,GONIOPORA,5,5
ATL,1,2013,AUG,26/08/13,LCC,HYDNOPHORA,0,0
ATL,1,2013,AUG,26/08/13,LCC,LEPTASTREA,0,0
ATL,1,2013,AUG,26/08/13,LCC,LEPTORIA,0,0
ATL,1,2013,AUG,26/08/13,LCC,LEPTOSERIS,0,0
ATL,1,2013,AUG,26/08/13,LCC,LITHOPHYLLON,0,0
ATL,1,2013,AUG,26/08/13,LCC,LOBOPHYLLIA,6,6
ATL,1,2013,AUG,26/08/13,LCC,MERULINA,0,0
ATL,1,2013,AUG,26/08/13,LCC,MONTIPORA,3,3
ATL,1,2013,AUG,26/08/13,LCC,OULOPHYLLIA,0,0
ATL,1,2013,AUG,26/08/13,LCC,PACHYSERIS,0,0
ATL,1,2013,AUG,26/08/13,LCC,PAVONA,0,0
ATL,1,2013,AUG,26/08/13,LCC,PECTINIA,0,0
ATL,1,2013,AUG,26/08/13,LCC,PHYSOGYRA,0,0
